Coin,Timeframe,Model,MAE,RMSE
BTC,1h,LSTM,5050.372143284574,8103.711971822356
BTC,1h,GRU,4077.7342682845742,6272.441460353677
BTC,4h,LSTM,6389.206595910904,7048.045129297806
BTC,4h,GRU,5161.318453956118,6170.320549638687
ETH,1h,LSTM,264.52114349235376,412.18876977920866
ETH,1h,GRU,196.72991798952793,285.08091703784254
ETH,4h,LSTM,148.62668742727726,198.47171531307836
ETH,4h,GRU,141.0708745376912,175.67405440550445
